location,group_type,event_a,event_b,overlap_start,overlap_end,overlap_min,closures_in_pair,cascade_risk
Hosur Road,corridor,FKID006193,FKID004830,2023-11-24 19:42:46.388000,2023-11-24 20:13:30.251854,30.7,0,2.8
Hosur Road,corridor,FKID006653,FKID006656,2023-12-09 06:25:58.371000,2023-12-09 06:36:09.962000,10.2,0,2.3
Hosur Road,corridor,FKID006844,FKID006845,2023-12-15 22:29:56.286000,2023-12-15 23:28:26.389000,58.5,0,3.5
Hosur Road,corridor,FKID006844,FKID006847,2023-12-15 22:38:50.143000,2023-12-15 23:28:26.389000,49.6,0,3.2
Hosur Road,corridor,FKID006844,FKID006848,2023-12-15 22:40:53.256000,2023-12-15 23:28:26.389000,47.6,0,3.2
Hosur Road,corridor,FKID006844,FKID006849,2023-12-15 22:41:23.758000,2023-12-15 23:28:26.389000,47.0,0,3.2
Hosur Road,corridor,FKID006844,FKID006850,2023-12-15 22:41:54.376000,2023-12-15 23:28:26.389000,46.5,0,3.2
Hosur Road,corridor,FKID006845,FKID006847,2023-12-15 22:38:50.143000,2023-12-15 23:29:56.286000,51.1,0,3.3
Hosur Road,corridor,FKID006845,FKID006848,2023-12-15 22:40:53.256000,2023-12-15 23:29:56.286000,49.1,0,3.2
Hosur Road,corridor,FKID006845,FKID006849,2023-12-15 22:41:23.758000,2023-12-15 23:29:56.286000,48.5,0,3.2
Hosur Road,corridor,FKID006845,FKID006850,2023-12-15 22:41:54.376000,2023-12-15 23:29:56.286000,48.0,0,3.2
Hosur Road,corridor,FKID006847,FKID006848,2023-12-15 22:40:53.256000,2023-12-15 23:38:50.143000,57.9,0,3.4
Hosur Road,corridor,FKID006847,FKID006849,2023-12-15 22:41:23.758000,2023-12-15 23:38:50.143000,57.4,0,3.4
Hosur Road,corridor,FKID006847,FKID006850,2023-12-15 22:41:54.376000,2023-12-15 23:38:50.143000,56.9,0,3.4
Hosur Road,corridor,FKID006848,FKID006849,2023-12-15 22:41:23.758000,2023-12-15 23:40:53.256000,59.5,0,3.5
Hosur Road,corridor,FKID006848,FKID006850,2023-12-15 22:41:54.376000,2023-12-15 23:40:53.256000,59.0,0,3.5
Hosur Road,corridor,FKID006849,FKID006850,2023-12-15 22:41:54.376000,2023-12-15 23:41:23.758000,59.5,0,3.5
Hosur Road,corridor,FKID006868,FKID006869,2023-12-16 00:52:52.752000,2023-12-16 01:49:59.908000,57.1,0,3.4
Hosur Road,corridor,FKID006868,FKID006870,2023-12-16 00:59:26.763000,2023-12-16 01:49:59.908000,50.6,0,3.3
Hosur Road,corridor,FKID006869,FKID006870,2023-12-16 00:59:26.763000,2023-12-16 01:52:52.752000,53.4,0,3.3
Hosur Road,corridor,FKID006870,FKID006877,2023-12-16 01:58:10.659000,2023-12-16 01:59:26.763000,1.3,0,2.0
Hosur Road,corridor,FKID006877,FKID006878,2023-12-16 01:59:31.405000,2023-12-16 02:58:10.659000,58.7,0,3.5
Hosur Road,corridor,FKID006877,FKID006879,2023-12-16 02:00:48.677000,2023-12-16 02:58:10.659000,57.4,0,3.4
Hosur Road,corridor,FKID006877,FKID006880,2023-12-16 02:01:56.882000,2023-12-16 02:58:10.659000,56.2,0,3.4
Hosur Road,corridor,FKID006877,FKID006881,2023-12-16 02:02:22.143000,2023-12-16 02:58:10.659000,55.8,0,3.4
Hosur Road,corridor,FKID006877,FKID006882,2023-12-16 02:02:53.459000,2023-12-16 02:58:10.659000,55.3,0,3.4
Hosur Road,corridor,FKID006877,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 02:58:10.659000,51.5,0,3.3
Hosur Road,corridor,FKID006877,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 02:58:10.659000,49.6,0,3.2
Hosur Road,corridor,FKID006877,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 02:58:10.659000,47.6,0,3.2
Hosur Road,corridor,FKID006877,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 02:58:10.659000,17.9,0,2.4
Hosur Road,corridor,FKID006877,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 02:58:10.659000,16.7,0,2.4
Hosur Road,corridor,FKID006877,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 02:58:10.659000,15.8,0,2.4
Hosur Road,corridor,FKID006877,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 02:58:10.659000,12.6,0,2.3
Hosur Road,corridor,FKID006877,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 02:58:10.659000,12.4,0,2.3
Hosur Road,corridor,FKID006878,FKID006879,2023-12-16 02:00:48.677000,2023-12-16 02:59:31.405000,58.7,0,3.5
Hosur Road,corridor,FKID006878,FKID006880,2023-12-16 02:01:56.882000,2023-12-16 02:59:31.405000,57.6,0,3.4
Hosur Road,corridor,FKID006878,FKID006881,2023-12-16 02:02:22.143000,2023-12-16 02:59:31.405000,57.2,0,3.4
Hosur Road,corridor,FKID006878,FKID006882,2023-12-16 02:02:53.459000,2023-12-16 02:59:31.405000,56.6,0,3.4
Hosur Road,corridor,FKID006878,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 02:59:31.405000,52.8,0,3.3
Hosur Road,corridor,FKID006878,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 02:59:31.405000,50.9,0,3.3
Hosur Road,corridor,FKID006878,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 02:59:31.405000,49.0,0,3.2
Hosur Road,corridor,FKID006878,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 02:59:31.405000,19.3,0,2.5
Hosur Road,corridor,FKID006878,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 02:59:31.405000,18.0,0,2.5
Hosur Road,corridor,FKID006878,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 02:59:31.405000,17.2,0,2.4
Hosur Road,corridor,FKID006878,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 02:59:31.405000,13.9,0,2.3
Hosur Road,corridor,FKID006878,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 02:59:31.405000,13.7,0,2.3
Hosur Road,corridor,FKID006879,FKID006880,2023-12-16 02:01:56.882000,2023-12-16 03:00:48.677000,58.9,0,3.5
Hosur Road,corridor,FKID006879,FKID006881,2023-12-16 02:02:22.143000,2023-12-16 03:00:48.677000,58.4,0,3.5
Hosur Road,corridor,FKID006879,FKID006882,2023-12-16 02:02:53.459000,2023-12-16 03:00:48.677000,57.9,0,3.4
Hosur Road,corridor,FKID006879,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 03:00:48.677000,54.1,0,3.4
Hosur Road,corridor,FKID006879,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 03:00:48.677000,52.2,0,3.3
Hosur Road,corridor,FKID006879,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:00:48.677000,50.2,0,3.3
Hosur Road,corridor,FKID006879,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:00:48.677000,20.5,0,2.5
Hosur Road,corridor,FKID006879,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:00:48.677000,19.3,0,2.5
Hosur Road,corridor,FKID006879,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:00:48.677000,18.5,0,2.5
Hosur Road,corridor,FKID006879,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:00:48.677000,15.2,0,2.4
Hosur Road,corridor,FKID006879,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:00:48.677000,15.0,0,2.4
Hosur Road,corridor,FKID006880,FKID006881,2023-12-16 02:02:22.143000,2023-12-16 03:01:56.882000,59.6,0,3.5
Hosur Road,corridor,FKID006880,FKID006882,2023-12-16 02:02:53.459000,2023-12-16 03:01:56.882000,59.1,0,3.5
Hosur Road,corridor,FKID006880,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 03:01:56.882000,55.2,0,3.4
Hosur Road,corridor,FKID006880,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 03:01:56.882000,53.3,0,3.3
Hosur Road,corridor,FKID006880,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:01:56.882000,51.4,0,3.3
Hosur Road,corridor,FKID006880,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:01:56.882000,21.7,0,2.5
Hosur Road,corridor,FKID006880,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:01:56.882000,20.5,0,2.5
Hosur Road,corridor,FKID006880,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:01:56.882000,19.6,0,2.5
Hosur Road,corridor,FKID006880,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:01:56.882000,16.3,0,2.4
Hosur Road,corridor,FKID006880,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:01:56.882000,16.2,0,2.4
Hosur Road,corridor,FKID006881,FKID006882,2023-12-16 02:02:53.459000,2023-12-16 03:02:22.143000,59.5,0,3.5
Hosur Road,corridor,FKID006881,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 03:02:22.143000,55.7,0,3.4
Hosur Road,corridor,FKID006881,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 03:02:22.143000,53.8,0,3.3
Hosur Road,corridor,FKID006881,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:02:22.143000,51.8,0,3.3
Hosur Road,corridor,FKID006881,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:02:22.143000,22.1,0,2.6
Hosur Road,corridor,FKID006881,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:02:22.143000,20.9,0,2.5
Hosur Road,corridor,FKID006881,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:02:22.143000,20.0,0,2.5
Hosur Road,corridor,FKID006881,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:02:22.143000,16.7,0,2.4
Hosur Road,corridor,FKID006881,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:02:22.143000,16.6,0,2.4
Hosur Road,corridor,FKID006882,FKID006883,2023-12-16 02:06:41.921000,2023-12-16 03:02:53.459000,56.2,0,3.4
Hosur Road,corridor,FKID006882,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 03:02:53.459000,54.3,0,3.4
Hosur Road,corridor,FKID006882,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:02:53.459000,52.3,0,3.3
Hosur Road,corridor,FKID006882,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:02:53.459000,22.6,0,2.6
Hosur Road,corridor,FKID006882,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:02:53.459000,21.4,0,2.5
Hosur Road,corridor,FKID006882,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:02:53.459000,20.5,0,2.5
Hosur Road,corridor,FKID006882,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:02:53.459000,17.3,0,2.4
Hosur Road,corridor,FKID006882,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:02:53.459000,17.1,0,2.4
Hosur Road,corridor,FKID006883,FKID006884,2023-12-16 02:08:36.976000,2023-12-16 03:06:41.921000,58.1,0,3.5
Hosur Road,corridor,FKID006883,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:06:41.921000,56.1,0,3.4
Hosur Road,corridor,FKID006883,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:06:41.921000,26.4,0,2.7
Hosur Road,corridor,FKID006883,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:06:41.921000,25.2,0,2.6
Hosur Road,corridor,FKID006883,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:06:41.921000,24.3,0,2.6
Hosur Road,corridor,FKID006883,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:06:41.921000,21.1,0,2.5
Hosur Road,corridor,FKID006883,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:06:41.921000,20.9,0,2.5
Hosur Road,corridor,FKID006884,FKID005759,2023-12-16 02:10:34.199000,2023-12-16 03:08:36.976000,58.0,0,3.5
Hosur Road,corridor,FKID006884,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:08:36.976000,28.4,0,2.7
Hosur Road,corridor,FKID006884,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:08:36.976000,27.1,0,2.7
Hosur Road,corridor,FKID006884,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:08:36.976000,26.3,0,2.7
Hosur Road,corridor,FKID006884,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:08:36.976000,23.0,0,2.6
Hosur Road,corridor,FKID006884,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:08:36.976000,22.8,0,2.6
Hosur Road,corridor,FKID005759,FKID006887,2023-12-16 02:40:15.939000,2023-12-16 03:10:34.199000,30.3,0,2.8
Hosur Road,corridor,FKID005759,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:10:34.199000,29.1,0,2.7
Hosur Road,corridor,FKID005759,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:10:34.199000,28.2,0,2.7
Hosur Road,corridor,FKID005759,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:10:34.199000,24.9,0,2.6
Hosur Road,corridor,FKID005759,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:10:34.199000,24.8,0,2.6
Hosur Road,corridor,FKID006887,FKID006888,2023-12-16 02:41:28.862000,2023-12-16 03:40:15.939000,58.8,0,3.5
Hosur Road,corridor,FKID006887,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:40:15.939000,57.9,0,3.4
Hosur Road,corridor,FKID006887,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:40:15.939000,54.6,0,3.4
Hosur Road,corridor,FKID006887,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:40:15.939000,54.5,0,3.4
Hosur Road,corridor,FKID006888,FKID006890,2023-12-16 02:42:21.654000,2023-12-16 03:41:28.862000,59.1,0,3.5
Hosur Road,corridor,FKID006888,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:41:28.862000,55.9,0,3.4
Hosur Road,corridor,FKID006888,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:41:28.862000,55.7,0,3.4
Hosur Road,corridor,FKID006890,FKID002644,2023-12-16 02:45:37.393000,2023-12-16 03:42:21.654000,56.7,0,3.4
Hosur Road,corridor,FKID006890,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:42:21.654000,56.6,0,3.4
Hosur Road,corridor,FKID002644,FKID006891,2023-12-16 02:45:47.265000,2023-12-16 03:45:37.393000,59.8,0,3.5
Hosur Road,corridor,FKID006897,FKID006898,2023-12-16 04:54:38.855000,2023-12-16 05:53:55.339000,59.3,0,3.5
Hosur Road,corridor,FKID006897,FKID006900,2023-12-16 04:59:44.853000,2023-12-16 05:53:55.339000,54.2,0,3.4
Hosur Road,corridor,FKID006897,FKID006901,2023-12-16 05:00:15.717000,2023-12-16 05:53:55.339000,53.7,0,3.3
Hosur Road,corridor,FKID006897,FKID006902,2023-12-16 05:00:40.953000,2023-12-16 05:53:55.339000,53.2,0,3.3
Hosur Road,corridor,FKID006897,FKID006903,2023-12-16 05:02:39.254000,2023-12-16 05:53:55.339000,51.3,0,3.3
Hosur Road,corridor,FKID006897,FKID006904,2023-12-16 05:04:05.816000,2023-12-16 05:53:55.339000,49.8,0,3.2
Hosur Road,corridor,FKID006897,FKID006905,2023-12-16 05:04:39.942000,2023-12-16 05:53:55.339000,49.3,0,3.2
Hosur Road,corridor,FKID006897,FKID006906,2023-12-16 05:06:34.023000,2023-12-16 05:53:55.339000,47.4,0,3.2
Hosur Road,corridor,FKID006897,FKID006907,2023-12-16 05:12:17.267000,2023-12-16 05:53:55.339000,41.6,0,3.0
Hosur Road,corridor,FKID006897,FKID006908,2023-12-16 05:12:42.418000,2023-12-16 05:53:55.339000,41.2,0,3.0
Hosur Road,corridor,FKID006897,FKID006909,2023-12-16 05:13:15.683000,2023-12-16 05:53:55.339000,40.7,0,3.0
Hosur Road,corridor,FKID006897,FKID006910,2023-12-16 05:14:10.044000,2023-12-16 05:53:55.339000,39.8,0,3.0
Hosur Road,corridor,FKID006897,FKID006911,2023-12-16 05:14:48.325000,2023-12-16 05:53:55.339000,39.1,0,3.0
Hosur Road,corridor,FKID006897,FKID006912,2023-12-16 05:15:36.166000,2023-12-16 05:53:55.339000,38.3,0,3.0
Hosur Road,corridor,FKID006897,FKID006913,2023-12-16 05:16:22.108000,2023-12-16 05:53:55.339000,37.6,0,2.9
Hosur Road,corridor,FKID006897,FKID006914,2023-12-16 05:17:49.480000,2023-12-16 05:53:55.339000,36.1,0,2.9
Hosur Road,corridor,FKID006897,FKID006915,2023-12-16 05:19:12.406000,2023-12-16 05:53:55.339000,34.7,0,2.9
Hosur Road,corridor,FKID006897,FKID006916,2023-12-16 05:19:57.762000,2023-12-16 05:53:55.339000,34.0,0,2.8
Hosur Road,corridor,FKID006897,FKID006917,2023-12-16 05:21:02.044000,2023-12-16 05:53:55.339000,32.9,0,2.8
Hosur Road,corridor,FKID006897,FKID006925,2023-12-16 05:28:43.125000,2023-12-16 05:53:55.339000,25.2,0,2.6
Hosur Road,corridor,FKID006897,FKID006926,2023-12-16 05:29:24.807000,2023-12-16 05:53:55.339000,24.5,0,2.6
Hosur Road,corridor,FKID006897,FKID006927,2023-12-16 05:30:45.219000,2023-12-16 05:53:55.339000,23.2,0,2.6
Hosur Road,corridor,FKID006897,FKID006928,2023-12-16 05:31:55.062000,2023-12-16 05:53:55.339000,22.0,0,2.6
Hosur Road,corridor,FKID006897,FKID003362,2023-12-16 05:32:37.469000,2023-12-16 05:53:55.339000,21.3,0,2.5
Hosur Road,corridor,FKID006898,FKID006900,2023-12-16 04:59:44.853000,2023-12-16 05:54:38.855000,54.9,0,3.4
Hosur Road,corridor,FKID006898,FKID006901,2023-12-16 05:00:15.717000,2023-12-16 05:54:38.855000,54.4,0,3.4
Hosur Road,corridor,FKID006898,FKID006902,2023-12-16 05:00:40.953000,2023-12-16 05:54:38.855000,54.0,0,3.3
Hosur Road,corridor,FKID006898,FKID006903,2023-12-16 05:02:39.254000,2023-12-16 05:54:38.855000,52.0,0,3.3
Hosur Road,corridor,FKID006898,FKID006904,2023-12-16 05:04:05.816000,2023-12-16 05:54:38.855000,50.6,0,3.3
Hosur Road,corridor,FKID006898,FKID006905,2023-12-16 05:04:39.942000,2023-12-16 05:54:38.855000,50.0,0,3.2
Hosur Road,corridor,FKID006898,FKID006906,2023-12-16 05:06:34.023000,2023-12-16 05:54:38.855000,48.1,0,3.2
Hosur Road,corridor,FKID006898,FKID006907,2023-12-16 05:12:17.267000,2023-12-16 05:54:38.855000,42.4,0,3.1
Hosur Road,corridor,FKID006898,FKID006908,2023-12-16 05:12:42.418000,2023-12-16 05:54:38.855000,41.9,0,3.0
Hosur Road,corridor,FKID006898,FKID006909,2023-12-16 05:13:15.683000,2023-12-16 05:54:38.855000,41.4,0,3.0
Hosur Road,corridor,FKID006898,FKID006910,2023-12-16 05:14:10.044000,2023-12-16 05:54:38.855000,40.5,0,3.0
Hosur Road,corridor,FKID006898,FKID006911,2023-12-16 05:14:48.325000,2023-12-16 05:54:38.855000,39.8,0,3.0
Hosur Road,corridor,FKID006898,FKID006912,2023-12-16 05:15:36.166000,2023-12-16 05:54:38.855000,39.0,0,3.0
Hosur Road,corridor,FKID006898,FKID006913,2023-12-16 05:16:22.108000,2023-12-16 05:54:38.855000,38.3,0,3.0
Hosur Road,corridor,FKID006898,FKID006914,2023-12-16 05:17:49.480000,2023-12-16 05:54:38.855000,36.8,0,2.9
Hosur Road,corridor,FKID006898,FKID006915,2023-12-16 05:19:12.406000,2023-12-16 05:54:38.855000,35.4,0,2.9
Hosur Road,corridor,FKID006898,FKID006916,2023-12-16 05:19:57.762000,2023-12-16 05:54:38.855000,34.7,0,2.9
Hosur Road,corridor,FKID006898,FKID006917,2023-12-16 05:21:02.044000,2023-12-16 05:54:38.855000,33.6,0,2.8
Hosur Road,corridor,FKID006898,FKID006925,2023-12-16 05:28:43.125000,2023-12-16 05:54:38.855000,25.9,0,2.6
Hosur Road,corridor,FKID006898,FKID006926,2023-12-16 05:29:24.807000,2023-12-16 05:54:38.855000,25.2,0,2.6
Hosur Road,corridor,FKID006898,FKID006927,2023-12-16 05:30:45.219000,2023-12-16 05:54:38.855000,23.9,0,2.6
Hosur Road,corridor,FKID006898,FKID006928,2023-12-16 05:31:55.062000,2023-12-16 05:54:38.855000,22.7,0,2.6
Hosur Road,corridor,FKID006898,FKID003362,2023-12-16 05:32:37.469000,2023-12-16 05:54:38.855000,22.0,0,2.6
Hosur Road,corridor,FKID006900,FKID006901,2023-12-16 05:00:15.717000,2023-12-16 05:59:44.853000,59.5,0,3.5
Hosur Road,corridor,FKID006900,FKID006902,2023-12-16 05:00:40.953000,2023-12-16 05:59:44.853000,59.1,0,3.5
Hosur Road,corridor,FKID006900,FKID006903,2023-12-16 05:02:39.254000,2023-12-16 05:59:44.853000,57.1,0,3.4
Hosur Road,corridor,FKID006900,FKID006904,2023-12-16 05:04:05.816000,2023-12-16 05:59:44.853000,55.7,0,3.4
Hosur Road,corridor,FKID006900,FKID006905,2023-12-16 05:04:39.942000,2023-12-16 05:59:44.853000,55.1,0,3.4
Hosur Road,corridor,FKID006900,FKID006906,2023-12-16 05:06:34.023000,2023-12-16 05:59:44.853000,53.2,0,3.3
Hosur Road,corridor,FKID006900,FKID006907,2023-12-16 05:12:17.267000,2023-12-16 05:59:44.853000,47.5,0,3.2
Hosur Road,corridor,FKID006900,FKID006908,2023-12-16 05:12:42.418000,2023-12-16 05:59:44.853000,47.0,0,3.2
Hosur Road,corridor,FKID006900,FKID006909,2023-12-16 05:13:15.683000,2023-12-16 05:59:44.853000,46.5,0,3.2
Hosur Road,corridor,FKID006900,FKID006910,2023-12-16 05:14:10.044000,2023-12-16 05:59:44.853000,45.6,0,3.1
Hosur Road,corridor,FKID006900,FKID006911,2023-12-16 05:14:48.325000,2023-12-16 05:59:44.853000,44.9,0,3.1
Hosur Road,corridor,FKID006900,FKID006912,2023-12-16 05:15:36.166000,2023-12-16 05:59:44.853000,44.1,0,3.1
Hosur Road,corridor,FKID006900,FKID006913,2023-12-16 05:16:22.108000,2023-12-16 05:59:44.853000,43.4,0,3.1
Hosur Road,corridor,FKID006900,FKID006914,2023-12-16 05:17:49.480000,2023-12-16 05:59:44.853000,41.9,0,3.0
Hosur Road,corridor,FKID006900,FKID006915,2023-12-16 05:19:12.406000,2023-12-16 05:59:44.853000,40.5,0,3.0
Hosur Road,corridor,FKID006900,FKID006916,2023-12-16 05:19:57.762000,2023-12-16 05:59:44.853000,39.8,0,3.0
Hosur Road,corridor,FKID006900,FKID006917,2023-12-16 05:21:02.044000,2023-12-16 05:59:44.853000,38.7,0,3.0
Hosur Road,corridor,FKID006900,FKID006925,2023-12-16 05:28:43.125000,2023-12-16 05:59:44.853000,31.0,0,2.8
Hosur Road,corridor,FKID006900,FKID006926,2023-12-16 05:29:24.807000,2023-12-16 05:59:44.853000,30.3,0,2.8
Hosur Road,corridor,FKID006900,FKID006927,2023-12-16 05:30:45.219000,2023-12-16 05:59:44.853000,29.0,0,2.7
Hosur Road,corridor,FKID006900,FKID006928,2023-12-16 05:31:55.062000,2023-12-16 05:59:44.853000,27.8,0,2.7
Hosur Road,corridor,FKID006900,FKID003362,2023-12-16 05:32:37.469000,2023-12-16 05:59:44.853000,27.1,0,2.7
Hosur Road,corridor,FKID006901,FKID006902,2023-12-16 05:00:40.953000,2023-12-16 06:00:15.717000,59.6,0,3.5
Hosur Road,corridor,FKID006901,FKID006903,2023-12-16 05:02:39.254000,2023-12-16 06:00:15.717000,57.6,0,3.4
Hosur Road,corridor,FKID006901,FKID006904,2023-12-16 05:04:05.816000,2023-12-16 06:00:15.717000,56.2,0,3.4
Hosur Road,corridor,FKID006901,FKID006905,2023-12-16 05:04:39.942000,2023-12-16 06:00:15.717000,55.6,0,3.4
Hosur Road,corridor,FKID006901,FKID006906,2023-12-16 05:06:34.023000,2023-12-16 06:00:15.717000,53.7,0,3.3
Hosur Road,corridor,FKID006901,FKID006907,2023-12-16 05:12:17.267000,2023-12-16 06:00:15.717000,48.0,0,3.2
Hosur Road,corridor,FKID006901,FKID006908,2023-12-16 05:12:42.418000,2023-12-16 06:00:15.717000,47.6,0,3.2
Hosur Road,corridor,FKID006901,FKID006909,2023-12-16 05:13:15.683000,2023-12-16 06:00:15.717000,47.0,0,3.2
Hosur Road,corridor,FKID006901,FKID006910,2023-12-16 05:14:10.044000,2023-12-16 06:00:15.717000,46.1,0,3.2
Hosur Road,corridor,FKID006901,FKID006911,2023-12-16 05:14:48.325000,2023-12-16 06:00:15.717000,45.5,0,3.1
Hosur Road,corridor,FKID006901,FKID006912,2023-12-16 05:15:36.166000,2023-12-16 06:00:15.717000,44.7,0,3.1
Hosur Road,corridor,FKID006901,FKID006913,2023-12-16 05:16:22.108000,2023-12-16 06:00:15.717000,43.9,0,3.1
Hosur Road,corridor,FKID006901,FKID006914,2023-12-16 05:17:49.480000,2023-12-16 06:00:15.717000,42.4,0,3.1
Hosur Road,corridor,FKID006901,FKID006915,2023-12-16 05:19:12.406000,2023-12-16 06:00:15.717000,41.1,0,3.0
Hosur Road,corridor,FKID006901,FKID006916,2023-12-16 05:19:57.762000,2023-12-16 06:00:15.717000,40.3,0,3.0
Hosur Road,corridor,FKID006901,FKID006917,2023-12-16 05:21:02.044000,2023-12-16 06:00:15.717000,39.2,0,3.0
Hosur Road,corridor,FKID006901,FKID006925,2023-12-16 05:28:43.125000,2023-12-16 06:00:15.717000,31.5,0,2.8
Hosur Road,corridor,FKID006901,FKID006926,2023-12-16 05:29:24.807000,2023-12-16 06:00:15.717000,30.8,0,2.8
Hosur Road,corridor,FKID006901,FKID006927,2023-12-16 05:30:45.219000,2023-12-16 06:00:15.717000,29.5,0,2.7
Hosur Road,corridor,FKID006901,FKID006928,2023-12-16 05:31:55.062000,2023-12-16 06:00:15.717000,28.3,0,2.7
Hosur Road,corridor,FKID006901,FKID003362,2023-12-16 05:32:37.469000,2023-12-16 06:00:15.717000,27.6,0,2.7
Hosur Road,corridor,FKID006902,FKID006903,2023-12-16 05:02:39.254000,2023-12-16 06:00:40.953000,58.0,0,3.5
Hosur Road,corridor,FKID006902,FKID006904,2023-12-16 05:04:05.816000,2023-12-16 06:00:40.953000,56.6,0,3.4
Hosur Road,corridor,FKID006902,FKID006905,2023-12-16 05:04:39.942000,2023-12-16 06:00:40.953000,56.0,0,3.4
Hosur Road,corridor,FKID006902,FKID006906,2023-12-16 05:06:34.023000,2023-12-16 06:00:40.953000,54.1,0,3.4
Hosur Road,corridor,FKID006902,FKID006907,2023-12-16 05:12:17.267000,2023-12-16 06:00:40.953000,48.4,0,3.2
Hosur Road,corridor,FKID006902,FKID006908,2023-12-16 05:12:42.418000,2023-12-16 06:00:40.953000,48.0,0,3.2
Hosur Road,corridor,FKID006902,FKID006909,2023-12-16 05:13:15.683000,2023-12-16 06:00:40.953000,47.4,0,3.2
Hosur Road,corridor,FKID006902,FKID006910,2023-12-16 05:14:10.044000,2023-12-16 06:00:40.953000,46.5,0,3.2
Hosur Road,corridor,FKID006902,FKID006911,2023-12-16 05:14:48.325000,2023-12-16 06:00:40.953000,45.9,0,3.1
Hosur Road,corridor,FKID006902,FKID006912,2023-12-16 05:15:36.166000,2023-12-16 06:00:40.953000,45.1,0,3.1
Hosur Road,corridor,FKID006902,FKID006913,2023-12-16 05:16:22.108000,2023-12-16 06:00:40.953000,44.3,0,3.1
Hosur Road,corridor,FKID006902,FKID006914,2023-12-16 05:17:49.480000,2023-12-16 06:00:40.953000,42.9,0,3.1
